feature,precision,recall,f1,category
workclass,0.6960227272727273,0.23832684824902725,0.35507246376811596,Private
workclass,0.6904761904761905,0.23015873015873015,0.34523809523809523,Local-gov
workclass,0.6956521739130435,0.25396825396825395,0.3720930232558139,State-gov
workclass,0.75,0.20270270270270271,0.3191489361702128,Federal-gov
workclass,0.7222222222222222,0.3333333333333333,0.45614035087719296,?
workclass,0.7777777777777778,0.28378378378378377,0.4158415841584159,Self-emp-not-inc
workclass,0.9454545454545454,0.4444444444444444,0.6046511627906976,Self-emp-inc
workclass,1.0,1.0,1.0,Without-pay
workclass,1.0,1.0,1.0,Never-worked
education,1.0,0.3088235294117647,0.4719101123595506,Doctorate
education,0.6666666666666666,0.3333333333333333,0.4444444444444444,12th
education,0.8,0.21818181818181817,0.34285714285714286,Assoc-acdm
education,0.8333333333333334,0.29867256637168144,0.4397394136807818,Bachelors
education,0.5639097744360902,0.22727272727272727,0.32397408207343414,HS-grad
education,0.6097560975609756,0.1694915254237288,0.26525198938992045,Some-college
education,0.8823529411764706,0.31746031746031744,0.46692607003891046,Masters
education,0.7307692307692307,0.2714285714285714,0.39583333333333326,Assoc-voc
education,0.2,0.2,0.20000000000000004,7th-8th
education,0.75,0.42857142857142855,0.5454545454545454,11th
education,0.9375,0.32608695652173914,0.48387096774193544,Prof-school
education,0.0,0.0,1.0,9th
education,0.16666666666666666,0.08333333333333333,0.1111111111111111,10th
education,0.0,0.0,1.0,1st-4th
education,0.0,0.0,1.0,5th-6th
education,1.0,1.0,1.0,Preschool
marital-status,0.38202247191011235,0.35051546391752575,0.3655913978494624,Never-married
marital-status,0.8358974358974359,0.24130273871206515,0.37449741527857555,Married-civ-spouse
marital-status,0.6229508196721312,0.3486238532110092,0.4470588235294118,Divorced
marital-status,0.5,0.6666666666666666,0.5714285714285715,Separated
marital-status,0.0,0.0,1.0,Married-spouse-absent
marital-status,0.75,0.391304347826087,0.5142857142857143,Widowed
marital-status,1.0,0.25,0.4,Married-AF-spouse
occupation,0.8306451612903226,0.2761394101876676,0.4144869215291751,Prof-specialty
occupation,0.625,0.14925373134328357,0.24096385542168672,Transport-moving
occupation,0.8888888888888888,0.25806451612903225,0.39999999999999997,Tech-support
occupation,0.42857142857142855,0.13043478260869565,0.2,Machine-op-inspct
occupation,0.47058823529411764,0.24489795918367346,0.32214765100671144,Adm-clerical
occupation,0.1875,0.10714285714285714,0.13636363636363635,Other-service
occupation,0.7121212121212122,0.24867724867724866,0.3686274509803922,Sales
occupation,0.8888888888888888,0.3192019950124688,0.46972477064220175,Exec-managerial
